UIC,Zeitstempel,Achsposition im Fahrzeug,Bremssohle links,Bremssohle rechts
378078347523,2020-04-03 13:44:31.934 +02:00,1,29,59
378078347523,2020-04-03 13:44:31.934 +02:00,2,34,31
378078347523,2020-04-03 13:44:31.934 +02:00,3,32,35
378078347523,2020-04-03 13:44:31.934 +02:00,4,27,34
338078189978,2020-04-03 13:44:31.934 +02:00,1,51,52
338078189978,2020-04-03 13:44:31.934 +02:00,2,53,51
338078189978,2020-04-03 13:44:31.934 +02:00,3,54,
338078189978,2020-04-03 13:44:31.934 +02:00,4,,52
238074768934,2020-04-02 15:16:32.326 +02:00,1,52,57
238074768934,2020-04-02 15:16:32.326 +02:00,2,55,43
378478419690,2020-04-03 13:44:31.934 +02:00,1,45,
378478419690,2020-04-03 13:44:31.934 +02:00,2,48,
378478419690,2020-04-03 13:44:31.934 +02:00,3,40,45
378478419690,2020-04-03 13:44:31.934 +02:00,4,42,
338078459629,2020-03-31 14:51:29.854 +02:00,1,,57
338078459629,2020-03-31 14:51:29.854 +02:00,2,,
338078459629,2020-03-31 14:51:29.854 +02:00,3,,
338078459629,2020-03-31 14:51:29.854 +02:00,4,,
338078611674,2020-04-03 13:44:31.934 +02:00,1,,51
338078611674,2020-04-03 13:44:31.934 +02:00,2,51,56
338078611674,2020-04-03 13:44:31.934 +02:00,3,52,55
338078611674,2020-04-03 13:44:31.934 +02:00,4,57,56
378478419633,2020-04-02 15:16:32.326 +02:00,1,51,43
378478419633,2020-04-02 15:16:32.326 +02:00,2,46,42
378478419633,2020-04-02 15:16:32.326 +02:00,3,51,52
378478419633,2020-04-02 15:16:32.326 +02:00,4,41,36
378478419674,2020-04-02 15:16:32.326 +02:00,1,,48
378478419674,2020-04-02 15:16:32.326 +02:00,2,50,
378478419674,2020-04-02 15:16:32.326 +02:00,3,41,60
378478419674,2020-04-02 15:16:32.326 +02:00,4,48,
338079338665,2020-03-30 21:16:38.563 +02:00,1,56,56
338079338665,2020-03-30 21:16:38.563 +02:00,2,57,56
338079338665,2020-03-30 21:16:38.563 +02:00,3,55,56
338079338665,2020-03-30 21:16:38.563 +02:00,4,56,54
378478419575,2020-03-31 14:51:29.854 +02:00,1,45,
378478419575,2020-03-31 14:51:29.854 +02:00,2,46,
378478419575,2020-03-31 14:51:29.854 +02:00,3,35,44
378478419575,2020-03-31 14:51:29.854 +02:00,4,40,39
378478093735,2020-04-03 13:44:31.934 +02:00,1,50,
378478093735,2020-04-03 13:44:31.934 +02:00,2,,51
378478093735,2020-04-03 13:44:31.934 +02:00,3,51,
378478093735,2020-04-03 13:44:31.934 +02:00,4,,49
378478419542,2020-03-31 14:51:29.854 +02:00,1,49,
378478419542,2020-03-31 14:51:29.854 +02:00,2,52,
378478419542,2020-03-31 14:51:29.854 +02:00,3,46,53
378478419542,2020-03-31 14:51:29.854 +02:00,4,,50
378079312542,2020-04-03 13:44:31.934 +02:00,1,34,53
378079312542,2020-04-03 13:44:31.934 +02:00,2,,39
378079312542,2020-04-03 13:44:31.934 +02:00,3,40,
378079312542,2020-04-03 13:44:31.934 +02:00,4,36,41
378078439205,2020-04-02 15:16:32.326 +02:00,1,50,
378078439205,2020-04-02 15:16:32.326 +02:00,2,54,48
378078439205,2020-04-02 15:16:32.326 +02:00,3,41,52
378078439205,2020-04-02 15:16:32.326 +02:00,4,38,
378479315830,2020-04-03 13:44:31.934 +02:00,1,56,
378479315830,2020-04-03 13:44:31.934 +02:00,2,59,35
378479315830,2020-04-03 13:44:31.934 +02:00,3,,56
378479315830,2020-04-03 13:44:31.934 +02:00,4,,53
378078349008,2020-04-03 13:44:31.934 +02:00,1,39,
378078349008,2020-04-03 13:44:31.934 +02:00,2,,36
378078349008,2020-04-03 13:44:31.934 +02:00,3,36,
